Identificador;Nombres;Apellidos;Edad;E_mail;Ciudad;Juegos;Series;;;;;;;;
1134708516;samuel;rodriguez;27;samuelrodriguez@unal.edu.co;cartagena;0;1;;;;;19;luisa;ortiz;
1134708517;samuel;sanchez;23;samuelsanchez@unal.edu.co;manizales;0;1;;;;;20;liliana;ruiz;
1134708518;milena;diaz;20;milenadiaz@unal.edu.co;medellin;0;1;;;;;;;;
1134708519;carlos;ruiz;31;carlosruiz@unal.edu.co;tunja;0;1;;;;;;;;
1134708520;luis;gomez;18;luisgomez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708521;luis;castro;32;luiscastro@unal.edu.co;tunja;0;1;;;;;;;;
1134708522;daniela;perez;31;danielaperez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708523;sebastian;gutierrez;27;sebastiangutierrez@unal.edu.co;tunja;0;1;;;;;;;;
1134708524;ana;jimenez;35;anajimenez@unal.edu.co;cali;0;1;;;;;;;;
1134708525;luis;gomez;22;luisgomez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708526;sebastian;lopez;35;sebastianlopez@unal.edu.co;manizales;0;1;;;;;;;;
1134708527;susana;rojas;18;susanarojas@unal.edu.co;cartagena;0;1;;;;;;;;
1134708528;luz;ortiz;35;luzortiz@unal.edu.co;cartagena;0;1;;;;;;;;
1134708529;jose;jimenez;28;josejimenez@unal.edu.co;cali;0;1;;;;;;;;
1134708530;sebastian;jimenez;32;sebastianjimenez@unal.edu.co;manizales;0;1;;;;;;;;
1134708531;sandra;hernandez;23;sandrahernandez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708532;ana;lopez;16;analopez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708533;pedro;hernandez;31;pedrohernandez@unal.edu.co;bogota;0;1;;;;;;;;
1134708534;juan;rodriguez;21;juanrodriguez@unal.edu.co;cali;0;1;;;;;;;;
1134708535;luz;lopez;36;luzlopez@unal.edu.co;manizales;0;1;;;;;;;;
1134708536;juan;perez;17;juanperez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708537;samuel;sanchez;42;samuelsanchez@unal.edu.co;medellin;0;1;;;;;;;;
1134708538;ana;garcia;41;anagarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708539;nicolas;gonzalez;39;nicolasgonzalez@unal.edu.co;popayan;0;1;;;;;;;;
1134708540;maria;rodriguez;18;mariarodriguez@unal.edu.co;medellin;0;1;;;;;;;;
1134708541;liliana;jimenez;44;lilianajimenez@unal.edu.co;medellin;0;1;;;;;;;;
1134708542;juan;perez;23;juanperez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708543;sebastian;rodriguez;41;sebastianrodriguez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708544;nicolas;garcia;27;nicolasgarcia@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708545;jose;torres;36;josetorres@unal.edu.co;cartagena;0;1;;;;;;;;
1134708546;nicolas;garcia;29;nicolasgarcia@unal.edu.co;tunja;0;1;;;;;;;;
1134708547;maria;sanchez;44;mariasanchez@unal.edu.co;medellin;0;1;;;;;;;;
1134708548;pedro;martinez;38;pedromartinez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708549;ana;vargas;23;anavargas@unal.edu.co;popayan;0;1;;;;;;;;
1134708550;daniela;torres;41;danielatorres@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708551;luis;jimenez;33;luisjimenez@unal.edu.co;tunja;0;1;;;;;;;;
1134708552;santiago;rodriguez;24;santiagorodriguez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708553;juan;vargas;33;juanvargas@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708554;jose;rojas;23;joserojas@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708555;liliana;torres;37;lilianatorres@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708556;carlos;martinez;29;carlosmartinez@unal.edu.co;manizales;0;1;;;;;;;;
1134708557;jose;rojas;37;joserojas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708558;daniela;jimenez;40;danielajimenez@unal.edu.co;popayan;0;1;;;;;;;;
1134708559;nicolas;moreno;16;nicolasmoreno@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708560;santiago;garcia;37;santiagogarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708561;jose;gutierrez;45;josegutierrez@unal.edu.co;bogota;0;1;;;;;;;;
1134708562;pedro;gutierrez;35;pedrogutierrez@unal.edu.co;tunja;0;1;;;;;;;;
1134708563;nicolas;hernandez;29;nicolashernandez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708564;alejandro;rodriguez;22;alejandrorodriguez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708565;jose;diaz;36;josediaz@unal.edu.co;tunja;0;1;;;;;;;;
1134708566;nicolas;sanchez;34;nicolassanchez@unal.edu.co;medellin;0;1;;;;;;;;
1134708567;samuel;diaz;25;samueldiaz@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708568;carlos;hernandez;20;carloshernandez@unal.edu.co;tunja;0;1;;;;;;;;
1134708569;carlos;ruiz;23;carlosruiz@unal.edu.co;manizales;0;1;;;;;;;;
1134708570;pedro;perez;22;pedroperez@unal.edu.co;manizales;0;1;;;;;;;;
1134708571;santiago;diaz;16;santiagodiaz@unal.edu.co;cali;0;1;;;;;;;;
1134708572;luis;vargas;35;luisvargas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708573;maria;perez;31;mariaperez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708574;pedro;martinez;22;pedromartinez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708575;sebastian;gomez;16;sebastiangomez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708576;juan;moreno;22;juanmoreno@unal.edu.co;popayan;0;1;;;;;;;;
1134708577;jose;sanchez;32;josesanchez@unal.edu.co;popayan;0;1;;;;;;;;
1134708578;liliana;gonzalez;29;lilianagonzalez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708579;luisa;hernandez;27;luisahernandez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708580;maria;ruiz;40;mariaruiz@unal.edu.co;cartagena;0;1;;;;;;;;
1134708581;luisa;rodriguez;24;luisarodriguez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708582;santiago;hernandez;41;santiagohernandez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708583;sandra;martinez;40;sandramartinez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708584;pedro;ruiz;21;pedroruiz@unal.edu.co;cali;0;1;;;;;;;;
1134708585;jose;diaz;31;josediaz@unal.edu.co;cali;0;1;;;;;;;;
1134708586;luis;ruiz;22;luisruiz@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708587;ana;ruiz;27;anaruiz@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708588;luz;moreno;18;luzmoreno@unal.edu.co;popayan;0;1;;;;;;;;
1134708589;liliana;moreno;45;lilianamoreno@unal.edu.co;tunja;0;1;;;;;;;;
1134708590;milena;diaz;36;milenadiaz@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708591;pedro;castro;39;pedrocastro@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708592;luisa;gonzalez;18;luisagonzalez@unal.edu.co;medellin;0;1;;;;;;;;
1134708593;milena;hernandez;34;milenahernandez@unal.edu.co;manizales;0;1;;;;;;;;
1134708594;sandra;vargas;39;sandravargas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708595;milena;moreno;35;milenamoreno@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708596;juan;ortiz;17;juanortiz@unal.edu.co;popayan;0;1;;;;;;;;
1134708597;daniela;hernandez;26;danielahernandez@unal.edu.co;cali;0;1;;;;;;;;
1134708598;juan;jimenez;25;juanjimenez@unal.edu.co;cali;0;1;;;;;;;;
1134708599;milena;gutierrez;39;milenagutierrez@unal.edu.co;bogota;0;1;;;;;;;;
1134708600;marina;gutierrez;17;marinagutierrez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708601;ana;ortiz;23;anaortiz@unal.edu.co;medellin;0;1;;;;;;;;
1134708602;pedro;martinez;25;pedromartinez@unal.edu.co;medellin;0;1;;;;;;;;
1134708603;nicolas;gomez;31;nicolasgomez@unal.edu.co;medellin;0;1;;;;;;;;
1134708604;pedro;rojas;20;pedrorojas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708605;juan;diaz;37;juandiaz@unal.edu.co;medellin;0;1;;;;;;;;
1134708606;luz;garcia;24;luzgarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708607;jose;ramirez;38;joseramirez@unal.edu.co;tunja;0;1;;;;;;;;
1134708608;juan;gomez;35;juangomez@unal.edu.co;bogota;0;1;;;;;;;;
1134708609;luisa;perez;42;luisaperez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708610;sebastian;gonzalez;41;sebastiangonzalez@unal.edu.co;medellin;0;1;;;;;;;;
1134708611;alejandro;ramirez;30;alejandroramirez@unal.edu.co;bogota;0;1;;;;;;;;
1134708612;samuel;diaz;19;samueldiaz@unal.edu.co;tunja;0;1;;;;;;;;
1134708613;maria;rodriguez;16;mariarodriguez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708614;santiago;vargas;18;santiagovargas@unal.edu.co;manizales;0;1;;;;;;;;
1134708615;pedro;martinez;41;pedromartinez@unal.edu.co;manizales;0;1;;;;;;;;
1134708616;ana;ortiz;16;anaortiz@unal.edu.co;cali;0;1;;;;;;;;
1134708617;luz;perez;43;luzperez@unal.edu.co;manizales;0;1;;;;;;;;
1134708618;sandra;ortiz;28;sandraortiz@unal.edu.co;popayan;0;1;;;;;;;;
1134708619;ana;garcia;24;anagarcia@unal.edu.co;cali;0;1;;;;;;;;
1134708620;luis;gonzalez;23;luisgonzalez@unal.edu.co;bogota;0;1;;;;;;;;
1134708621;luisa;gutierrez;36;luisagutierrez@unal.edu.co;cali;0;1;;;;;;;;
1134708622;susana;ramirez;22;susanaramirez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708623;luis;torres;39;luistorres@unal.edu.co;cartagena;0;1;;;;;;;;
1134708624;ana;rojas;18;anarojas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708625;santiago;gonzalez;16;santiagogonzalez@unal.edu.co;cali;0;1;;;;;;;;
1134708626;pedro;hernandez;18;pedrohernandez@unal.edu.co;popayan;0;1;;;;;;;;
1134708627;santiago;jimenez;18;santiagojimenez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708628;sebastian;castro;27;sebastiancastro@unal.edu.co;cali;0;1;;;;;;;;
1134708629;sandra;moreno;22;sandramoreno@unal.edu.co;popayan;0;1;;;;;;;;
1134708630;alejandro;lopez;38;alejandrolopez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708631;sandra;rojas;45;sandrarojas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708632;liliana;gomez;39;lilianagomez@unal.edu.co;popayan;0;1;;;;;;;;
1134708633;luis;sanchez;21;luissanchez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708634;jose;diaz;19;josediaz@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708635;nicolas;gonzalez;42;nicolasgonzalez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708636;luis;lopez;44;luislopez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708637;sandra;perez;17;sandraperez@unal.edu.co;manizales;0;1;;;;;;;;
1134708638;carlos;martinez;34;carlosmartinez@unal.edu.co;manizales;0;1;;;;;;;;
1134708639;carlos;lopez;38;carloslopez@unal.edu.co;manizales;0;1;;;;;;;;
1134708640;santiago;garcia;23;santiagogarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708641;juan;hernandez;20;juanhernandez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708642;sandra;torres;45;sandratorres@unal.edu.co;cartagena;0;1;;;;;;;;
1134708643;carlos;martinez;43;carlosmartinez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708644;maria;garcia;26;mariagarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708645;luisa;rojas;38;luisarojas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708646;susana;ruiz;33;susanaruiz@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708647;juan;vargas;42;juanvargas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708648;marina;jimenez;36;marinajimenez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708649;luis;moreno;32;luismoreno@unal.edu.co;tunja;0;1;;;;;;;;
1134708650;luis;rojas;22;luisrojas@unal.edu.co;cartagena;0;1;;;;;;;;
1134708651;daniela;sanchez;37;danielasanchez@unal.edu.co;medellin;0;1;;;;;;;;
1134708652;pedro;vargas;20;pedrovargas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708653;susana;ramirez;19;susanaramirez@unal.edu.co;cali;0;1;;;;;;;;
1134708654;milena;gomez;34;milenagomez@unal.edu.co;cali;0;1;;;;;;;;
1134708655;juan;sanchez;20;juansanchez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708656;carlos;diaz;21;carlosdiaz@unal.edu.co;cali;0;1;;;;;;;;
1134708657;carlos;rojas;27;carlosrojas@unal.edu.co;tunja;0;1;;;;;;;;
1134708658;marina;rojas;26;marinarojas@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708659;susana;garcia;32;susanagarcia@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708660;luis;gonzalez;17;luisgonzalez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708661;luz;garcia;36;luzgarcia@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708662;santiago;perez;18;santiagoperez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708663;carlos;gonzalez;40;carlosgonzalez@unal.edu.co;bogota;0;1;;;;;;;;
1134708664;alejandro;jimenez;21;alejandrojimenez@unal.edu.co;medellin;0;1;;;;;;;;
1134708665;liliana;hernandez;40;lilianahernandez@unal.edu.co;bogota;0;1;;;;;;;;
1134708666;daniela;perez;43;danielaperez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708667;marina;ortiz;19;marinaortiz@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708668;santiago;lopez;42;santiagolopez@unal.edu.co;tunja;0;1;;;;;;;;
1134708669;nicolas;martinez;29;nicolasmartinez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708670;samuel;garcia;39;samuelgarcia@unal.edu.co;tunja;0;1;;;;;;;;
1134708671;milena;gonzalez;24;milenagonzalez@unal.edu.co;popayan;0;1;;;;;;;;
1134708672;jose;torres;36;josetorres@unal.edu.co;popayan;0;1;;;;;;;;
1134708673;luisa;ortiz;25;luisaortiz@unal.edu.co;medellin;0;1;;;;;;;;
1134708674;santiago;castro;20;santiagocastro@unal.edu.co;medellin;0;1;;;;;;;;
1134708675;santiago;garcia;28;santiagogarcia@unal.edu.co;manizales;0;1;;;;;;;;
1134708676;samuel;jimenez;32;samueljimenez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708677;daniela;rojas;24;danielarojas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708678;ana;martinez;30;anamartinez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708679;jose;lopez;23;joselopez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708680;juan;gutierrez;27;juangutierrez@unal.edu.co;cali;0;1;;;;;;;;
1134708681;nicolas;perez;29;nicolasperez@unal.edu.co;popayan;0;1;;;;;;;;
1134708682;maria;rojas;28;mariarojas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708683;santiago;jimenez;30;santiagojimenez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708684;marina;rodriguez;41;marinarodriguez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708685;sandra;hernandez;19;sandrahernandez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708686;juan;rojas;26;juanrojas@unal.edu.co;manizales;0;1;;;;;;;;
1134708687;liliana;martinez;24;lilianamartinez@unal.edu.co;bogota;0;1;;;;;;;;
1134708688;sebastian;vargas;42;sebastianvargas@unal.edu.co;cali;0;1;;;;;;;;
1134708689;milena;vargas;36;milenavargas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708690;susana;garcia;42;susanagarcia@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708691;milena;martinez;32;milenamartinez@unal.edu.co;cali;0;1;;;;;;;;
1134708692;maria;castro;28;mariacastro@unal.edu.co;bogota;0;1;;;;;;;;
1134708693;carlos;garcia;44;carlosgarcia@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708694;sandra;ramirez;40;sandraramirez@unal.edu.co;cali;0;1;;;;;;;;
1134708695;luis;vargas;22;luisvargas@unal.edu.co;manizales;0;1;;;;;;;;
1134708696;susana;ortiz;29;susanaortiz@unal.edu.co;cartagena;0;1;;;;;;;;
1134708697;jose;ruiz;16;joseruiz@unal.edu.co;tunja;0;1;;;;;;;;
1134708698;marina;ruiz;36;marinaruiz@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708699;juan;perez;21;juanperez@unal.edu.co;manizales;0;1;;;;;;;;
1134708700;carlos;torres;44;carlostorres@unal.edu.co;medellin;0;1;;;;;;;;
1134708701;milena;lopez;35;milenalopez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708702;luisa;rodriguez;19;luisarodriguez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708703;luis;castro;42;luiscastro@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708704;marina;sanchez;24;marinasanchez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708705;sandra;moreno;19;sandramoreno@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708706;carlos;sanchez;27;carlossanchez@unal.edu.co;manizales;0;1;;;;;;;;
1134708707;liliana;rojas;19;lilianarojas@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708708;maria;gonzalez;36;mariagonzalez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708709;carlos;moreno;29;carlosmoreno@unal.edu.co;bogota;0;1;;;;;;;;
1134708710;jose;garcia;40;josegarcia@unal.edu.co;medellin;0;1;;;;;;;;
1134708711;pedro;martinez;30;pedromartinez@unal.edu.co;medellin;0;1;;;;;;;;
1134708712;susana;garcia;17;susanagarcia@unal.edu.co;cali;0;1;;;;;;;;
1134708713;carlos;garcia;38;carlosgarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708714;maria;rojas;23;mariarojas@unal.edu.co;bogota;0;1;;;;;;;;
1134708715;santiago;perez;24;santiagoperez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708716;alejandro;sanchez;28;alejandrosanchez@unal.edu.co;bogota;0;1;;;;;;;;
1134708717;luisa;gomez;40;luisagomez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708718;sebastian;perez;25;sebastianperez@unal.edu.co;popayan;0;1;;;;;;;;
1134708719;luz;ramirez;37;luzramirez@unal.edu.co;bogota;0;1;;;;;;;;
1134708720;carlos;torres;19;carlostorres@unal.edu.co;cartagena;0;1;;;;;;;;
1134708721;maria;garcia;44;mariagarcia@unal.edu.co;cartagena;0;1;;;;;;;;
1134708722;ana;gonzalez;39;anagonzalez@unal.edu.co;bogota;0;1;;;;;;;;
1134708723;marina;martinez;24;marinamartinez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708724;susana;lopez;34;susanalopez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708725;juan;ramirez;37;juanramirez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708726;luz;perez;24;luzperez@unal.edu.co;medellin;0;1;;;;;;;;
1134708727;santiago;sanchez;44;santiagosanchez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708728;luz;torres;34;luztorres@unal.edu.co;cali;0;1;;;;;;;;
1134708729;nicolas;perez;17;nicolasperez@unal.edu.co;bogota;0;1;;;;;;;;
1134708730;luis;gomez;36;luisgomez@unal.edu.co;bogota;0;1;;;;;;;;
1134708731;juan;ramirez;21;juanramirez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708732;milena;gomez;20;milenagomez@unal.edu.co;manizales;0;1;;;;;;;;
1134708733;sandra;hernandez;29;sandrahernandez@unal.edu.co;bogota;0;1;;;;;;;;
1134708734;susana;ruiz;24;susanaruiz@unal.edu.co;cali;0;1;;;;;;;;
1134708735;nicolas;gomez;24;nicolasgomez@unal.edu.co;manizales;0;1;;;;;;;;
1134708736;sebastian;lopez;31;sebastianlopez@unal.edu.co;bogota;0;1;;;;;;;;
1134708737;juan;gutierrez;45;juangutierrez@unal.edu.co;manizales;0;1;;;;;;;;
1134708738;luz;hernandez;25;luzhernandez@unal.edu.co;medellin;0;1;;;;;;;;
1134708739;sandra;castro;33;sandracastro@unal.edu.co;popayan;0;1;;;;;;;;
1134708740;milena;martinez;44;milenamartinez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708741;carlos;gomez;19;carlosgomez@unal.edu.co;medellin;0;1;;;;;;;;
1134708742;milena;vargas;22;milenavargas@unal.edu.co;popayan;0;1;;;;;;;;
1134708743;susana;vargas;42;susanavargas@unal.edu.co;popayan;0;1;;;;;;;;
1134708744;jose;martinez;42;josemartinez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708745;luz;hernandez;43;luzhernandez@unal.edu.co;medellin;0;1;;;;;;;;
1134708746;sebastian;vargas;42;sebastianvargas@unal.edu.co;manizales;0;1;;;;;;;;
1134708747;luz;rodriguez;41;luzrodriguez@unal.edu.co;cali;0;1;;;;;;;;
1134708748;sebastian;sanchez;24;sebastiansanchez@unal.edu.co;tunja;0;1;;;;;;;;
1134708749;jose;gonzalez;24;josegonzalez@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708750;samuel;ramirez;38;samuelramirez@unal.edu.co;bogota;0;1;;;;;;;;
1134708751;pedro;ruiz;31;pedroruiz@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708752;santiago;lopez;33;santiagolopez@unal.edu.co;medellin;0;1;;;;;;;;
1134708753;juan;ortiz;42;juanortiz@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708754;luz;vargas;17;luzvargas@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708755;alejandro;lopez;18;alejandrolopez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708756;carlos;vargas;18;carlosvargas@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708757;nicolas;gutierrez;38;nicolasgutierrez@unal.edu.co;popayan;0;1;;;;;;;;
1134708758;jose;rojas;44;joserojas@unal.edu.co;tunja;0;1;;;;;;;;
1134708759;marina;moreno;32;marinamoreno@unal.edu.co;tunja;0;1;;;;;;;;
1134708760;nicolas;torres;33;nicolastorres@unal.edu.co;cartagena;0;1;;;;;;;;
1134708761;santiago;diaz;34;santiagodiaz@unal.edu.co;bucaramanga;0;1;;;;;;;;
1134708762;luisa;diaz;41;luisadiaz@unal.edu.co;cali;0;1;;;;;;;;
1134708763;milena;castro;45;milenacastro@unal.edu.co;popayan;0;1;;;;;;;;
1134708764;susana;rodriguez;40;susanarodriguez@unal.edu.co;manizales;0;1;;;;;;;;
1134708765;ana;ruiz;43;anaruiz@unal.edu.co;cali;0;1;;;;;;;;
1134708766;pedro;perez;17;pedroperez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708767;marina;moreno;37;marinamoreno@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708768;luisa;sanchez;22;luisasanchez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708769;sandra;rodriguez;28;sandrarodriguez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708770;sebastian;gonzalez;35;sebastiangonzalez@unal.edu.co;manizales;0;1;;;;;;;;
1134708771;susana;lopez;17;susanalopez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708772;santiago;moreno;33;santiagomoreno@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708773;liliana;perez;37;lilianaperez@unal.edu.co;medellin;0;1;;;;;;;;
1134708774;ana;gutierrez;32;anagutierrez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708775;maria;jimenez;41;mariajimenez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708776;samuel;rodriguez;26;samuelrodriguez@unal.edu.co;bogota;0;1;;;;;;;;
1134708777;santiago;hernandez;25;santiagohernandez@unal.edu.co;villavicencio;0;1;;;;;;;;
1134708778;sebastian;vargas;35;sebastianvargas@unal.edu.co;medellin;0;1;;;;;;;;
1134708779;sandra;rodriguez;33;sandrarodriguez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708780;luz;hernandez;31;luzhernandez@unal.edu.co;cartagena;0;1;;;;;;;;
1134708781;daniela;hernandez;25;danielahernandez@unal.edu.co;barranquilla;0;1;;;;;;;;
1134708782;liliana;gutierrez;41;lilianagutierrez@unal.edu.co;popayan;0;1;;;;;;;;
1134708783;susana;rojas;20;susanarojas@unal.edu.co;manizales;0;1;;;;;;;;
1134708784;sebastian;castro;18;sebastiancastro@unal.edu.co;popayan;0;1;;;;;;;;
1134708785;carlos;perez;37;carlosperez@unal.edu.co;medellin;0;1;;;;;;;;
1134708786;daniela;torres;18;danielatorres@unal.edu.co;medellin;0;1;;;;;;;;
1134708787;sandra;vargas;29;sandravargas@unal.edu.co;medellin;0;1;;;;;;;;
1134708788;maria;ramirez;29;mariaramirez@unal.edu.co;medellin;0;1;;;;;;;;
1134708789;liliana;rodriguez;27;lilianarodriguez@unal.edu.co;manizales;0;1;;;;;;;;
